서대문자연사박물관,박물관,서울 서대문구 연희로32길 51,유익해요,전시 구성이 알차요,아이와 가기 좋아요,전시 테마가 재밌어요,설명이 잘 되어있어요
새라울,"카페,디저트",서울 서대문구 연희로27길 99,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,사진이 잘 나와요,음료가 맛있어요
비밀베이커리 이대점,베이커리,서울 서대문구 이화여대7길 48 1층 비밀베이커리,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
홍제문고,서점,서울 서대문구 통일로39가길 30 지하 1층,원하는 책을 찾기 쉬워요,시설이 깔끔해요,책 종류가 다양해요,베스트셀러가 많아요,신간이 빨리 들어와요
카페 세러데이즈,"카페,디저트",서울 서대문구 경기대로 68 1층 카페세러데이즈,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
파이홀,카페,서울 서대문구 연세로5나길 20,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요,친절해요
스타벅스 연희DT점,카페,서울 서대문구 연희로 144 (연희동),커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요
앤트러사이트 연희점,"카페,디저트",서울 서대문구 연희로 135 앤트러사이트 연희점,커피가 맛있어요,인테리어가 멋져요,집중하기 좋아요,디저트가 맛있어요,친절해요
금옥당 연희점,"카페,디저트",서울 서대문구 연희로11라길 2,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,매장이 청결해요
-,-,-,-,-,-,-,-
카페페라,"카페,디저트",서울 서대문구 이화여대8길 2 1층 카페 페라,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
카페 마,"카페,디저트",서울 서대문구 연희로11가길 48-10,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요
고르드,"카페,디저트",서울 서대문구 명물길 42 우성빌딩,빵이 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요
소설원,"카페,디저트",서울 서대문구 통일로 419-1 소설원 홍제,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,사진이 잘 나와요
오르랔베이커리,베이커리,서울 서대문구 신촌로 241,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,커피가 맛있어요
포방터시장,시장,서울 서대문구 포방터2길 11 포방터배송센터,분위기가 편안해요,친절해요,주차하기 편해요,가성비가 좋아요,볼거리가 많아요
크레페허브,"카페,디저트",서울 서대문구 거북골로 21-5 1층 크레페허브,디저트가 맛있어요,인테리어가 멋져요,친절해요,매장이 청결해요,특별한 메뉴가 있어요
보연희,"카페,디저트",서울 서대문구 연희맛로 17-63 2층,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,음료가 맛있어요
리히트,케이크전문,서울 서대문구 연희로4길 10 리히트,디저트가 맛있어요,특별한 메뉴가 있어요,선물하기 좋아요,가성비가 좋아요,친절해요
옥루몽 신촌본점,빙수,서울 서대문구 연대동문길 18,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,음료가 맛있어요,친절해요
수신당,베이커리,서울 서대문구 수색로2길 39 DMC금호리첸시아 1층 110 일부호,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
티앙팡 오후의 홍차,카페,서울 서대문구 이화여대길 34 2층,음료가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,대화하기 좋아요
