바티카호텔,2성급,서울 종로구 청계천로 341 바티카호텔,친절해요,주차하기 편해요,대중교통이 편해요,조용히 쉬기 좋아요,깨끗해요
호텔 라붐,호텔,서울 종로구 돈화문로9길 37,친절해요,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,냉난방이 잘돼요
혜화1938,전통숙소,서울 종로구 성균관로16길 7,조용히 쉬기 좋아요,인테리어가 멋져요,친절해요,깨끗해요,침구가 좋아요
호텔 베뉴지,2성급,서울 종로구 청계천로 117 호텔 베뉴지,친절해요,침구가 좋아요,조용히 쉬기 좋아요,깨끗해요,대중교통이 편해요
-,-,-,-,-,-,-,-
24게스트하우스 경복궁점,전통숙소,서울 종로구 자하문로5가길 27-1,깨끗해요,친절해요,조용히 쉬기 좋아요,근처에 갈 곳이 많아요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
호텔스타,모텔,서울 종로구 돈화문로9길 29,침구가 좋아요,친절해요,방음이 잘돼요,조용히 쉬기 좋아요,인테리어가 멋져요
시네마모텔,모텔,서울 종로구 수표로28길 12-5,조용히 쉬기 좋아요,침구가 좋아요,깨끗해요,친절해요,냉난방이 잘돼요
서울앤호텔 동대문점,3급,서울 종로구 종로66가길 21,친절해요,조용히 쉬기 좋아요,대중교통이 편해요,깨끗해요,냉난방이 잘돼요
알게스트하우스,호스텔,서울 종로구 수표로28길 12-3,근처에 갈 곳이 많아요,대중교통이 편해요,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
G HOUSE,게스트하우스,서울 종로구 백석동길 187,친절해요,인테리어가 멋져요,대중교통이 편해요,조식이 맛있어요,깨끗해요
-,-,-,-,-,-,-,-
비바라비다,전통숙소,서울 종로구 율곡로 110-15,인테리어가 멋져요,친절해요,조용히 쉬기 좋아요,침구가 좋아요,근처에 갈 곳이 많아요
-,-,-,-,-,-,-,-
여느날,전통숙소,서울 종로구 자하문로1길 49-9,깨끗해요,근처에 갈 곳이 많아요,침구가 좋아요,인테리어가 멋져요,사진이 잘 나와요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
수송게스트하우스,게스트하우스,서울 종로구 율곡로4길 59,깨끗해요,화장실이 잘 되어있어요,대중교통이 편해요,침구가 좋아요,친절해요
뉠스테이,전통숙소,서울 종로구 필운대로5길 17 뉠스테이,인테리어가 멋져요,깨끗해요,조용히 쉬기 좋아요,사진이 잘 나와요,친절해요
-,-,-,-,-,-,-,-
서촌 한옥 경애재,전통숙소,서울 종로구 자하문로15길 26-24,깨끗해요,냉난방이 잘돼요,침구가 좋아요,친절해요,조용히 쉬기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
통통쁘띠호텔,기타숙박업,서울 종로구 율곡로10길 91,깨끗해요,친절해요,조용히 쉬기 좋아요,침구가 좋아요,인테리어가 멋져요
-,-,-,-,-,-,-,-
호텔 컬리넌 종로,3급,서울 종로구 수표로26길 6 호텔 컬리넌 종로,침구가 좋아요,깨끗해요,친절해요,조용히 쉬기 좋아요,방음이 잘돼요
-,-,-,-,-,-,-,-
소월한옥 소월담,전통숙소,서울 종로구 북촌로 20-25,깨끗해요,조용히 쉬기 좋아요,침구가 좋아요,친절해요,인테리어가 멋져요
호텔라와,3급,서울 종로구 수표로26길 3,침구가 좋아요,친절해요,깨끗해요,조용히 쉬기 좋아요,인테리어가 멋져요
-,-,-,-,-,-,-,-
서울한옥스테이 JNPstay,게스트하우스,서울 종로구 자하문로1나길 7-28,깨끗해요,조용히 쉬기 좋아요,냉난방이 잘돼요,침구가 좋아요,화장실이 잘 되어있어요
누누모텔,모텔,서울 종로구 수표로22길 8,근처에 갈 곳이 많아요,조용히 쉬기 좋아요,친절해요,대중교통이 편해요,침구가 좋아요
웰컴미스테익스,전통숙소,서울 종로구 창의문로7길 27 웰컴미스테익스하우스,조용히 쉬기 좋아요,인테리어가 멋져요,깨끗해요,뷰가 좋아요,친절해요
소월정,전통숙소,서울 종로구 창덕궁길 172-2 소월정,깨끗해요,조용히 쉬기 좋아요,인테리어가 멋져요,친절해요,냉난방이 잘돼요
르몽호텔,3급,서울 종로구 종로16길 28 르몽호텔,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,인테리어가 멋져요,친절해요
-,-,-,-,-,-,-,-
화운,전통숙소,서울 종로구 북촌로11다길 42 (삼청동),조용히 쉬기 좋아요,인테리어가 멋져요,뷰가 좋아요,사진이 잘 나와요,침구가 좋아요
공심가 한옥 게스트하우스,게스트하우스,서울 종로구 율곡로1길 46,조용히 쉬기 좋아요,친절해요,근처에 갈 곳이 많아요,대중교통이 편해요,깨끗해요
호텔DM,2성급,서울 종로구 난계로29길 73,깨끗해요,침구가 좋아요,친절해요,조용히 쉬기 좋아요,대중교통이 편해요
24게스트하우스 동대문마켓,게스트하우스,서울 종로구 종로46길 22 5층,대중교통이 편해요,조용히 쉬기 좋아요,깨끗해요,친절해요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
쎈츄럴관광호텔,2성급,서울 종로구 청계천로 137,침구가 좋아요,친절해요,깨끗해요,대중교통이 편해요,호캉스하기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
더채 : 갤러리,전통숙소,서울 종로구 자하문로 76-5 효자동 60-4 (우)03042,깨끗해요,인테리어가 멋져요,조용히 쉬기 좋아요,화장실이 잘 되어있어요,침구가 좋아요
오설록 티하우스 북촌점,차,서울 종로구 북촌로 45 오설록,차가 맛있어요,인테리어가 멋져요,음료가 맛있어요,뷰가 좋아요,디저트가 맛있어요
-,-,-,-,-,-,-,-
다온게스트하우스,게스트하우스,서울 종로구 계동길 85-5,깨끗해요,친절해요,조용히 쉬기 좋아요,냉난방이 잘돼요,침구가 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
호텔리안,3급,서울 종로구 수표로18길 26,친절해요,침구가 좋아요,대중교통이 편해요,깨끗해요,조용히 쉬기 좋아요
-,-,-,-,-,-,-,-
호텔케이월드,호텔,서울 종로구 종로35길 10 K월드 호텔,깨끗해요,침구가 좋아요,친절해요,냉난방이 잘돼요,조용히 쉬기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
시티파크호텔,모텔,서울 종로구 돈화문로11가길 89 시티파크,근처에 갈 곳이 많아요,깨끗해요,친절해요,조용히 쉬기 좋아요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
한옥 게스트하우스 동촌재,게스트하우스,서울 종로구 자하문로11길 21-10 동촌재,친절해요,깨끗해요,조용히 쉬기 좋아요,조식이 맛있어요,인테리어가 멋져요
소소하우스,전통숙소,서울 종로구 필운대로5가길 16-5,인테리어가 멋져요,조용히 쉬기 좋아요,깨끗해요,친절해요,근처에 갈 곳이 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
북촌아지트,전통숙소,서울 종로구 계동길 100-7 1층,친절해요,인테리어가 멋져요,깨끗해요,즐길 거리가 많아요,방음이 잘돼요
호텔썬비,2성급,서울 종로구 인사동7길 26,친절해요,깨끗해요,조용히 쉬기 좋아요,침구가 좋아요,대중교통이 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
비빔밥게스트하우스,전통숙소,서울 종로구 사직로9가길 5-7,인테리어가 멋져요,깨끗해요,친절해요,조용히 쉬기 좋아요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
무월관,전통숙소,서울 종로구 윤보선길 19-16,인테리어가 멋져요,깨끗해요,조용히 쉬기 좋아요,침구가 좋아요,근처에 갈 곳이 많아요
