전쟁기념사업회 전쟁기념관,박물관,서울 용산구 이태원로 29,유익해요,주차하기 편해요,전시 구성이 알차요,설명이 잘 되어있어요,공간이 넓어요
폰트 용산점,카페,서울 용산구 한강대로15길 19-16 1층,커피가 맛있어요,인테리어가 멋져요,친절해요,매장이 청결해요,음료가 맛있어요
블루도어북스,서점,서울 용산구 이태원로 239 우리은행 주차장쪽 지하 1층,책 읽기 쾌적해요,아늑해요,인테리어가 멋져요,시설이 깔끔해요,책 종류가 다양해요
아틀리에폰드 한남,베이커리,서울 용산구 이태원로54길 19 1층,인테리어가 멋져요,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,사진이 잘 나와요
-,-,-,-,-,-,-,-
코끼리베이글,"카페,디저트",서울 용산구 서빙고로91길 10,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,뷰가 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
헤미안 커피바,카페,서울 용산구 녹사평대로40나길 16 1층,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
더베이커스테이블,베이커리,서울 용산구 녹사평대로 244-1,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,가성비가 좋아요
알페도,베이커리,서울 용산구 이태원로 174 1층 4-5호,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,음료가 맛있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
엔다이브,"카페,디저트",서울 용산구 이태원로54길 52-2,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
더미쓰리,"카페,디저트",서울 용산구 녹사평대로40길 31 용이빌딩 2층 The Mi Three 카페,친절해요,뷰가 좋아요,음료가 맛있어요,커피가 맛있어요,매장이 청결해요
챔프커피 제2작업실,"카페,디저트",서울 용산구 녹사평대로26가길 24 1층,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-
