-,-,-,-,-,-,-,-
칩멍크,"카페,디저트",서울 강북구 삼양로98길 7 1층,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요
스타벅스 미아뉴타운점,카페,서울 강북구 삼양로 161 (미아동),커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요
바나프레소 미아사거리역점,바나프레소,서울 강북구 도봉로 41-1,커피가 맛있어요,가성비가 좋아요,음료가 맛있어요,친절해요,매장이 청결해요
녹베이크샵,베이커리,서울 강북구 숭인로 65-3 1층,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,음료가 맛있어요
뚜레쥬르 카페수유역,베이커리,서울 강북구 도봉로 322-1,빵이 맛있어요,친절해요,매장이 청결해요,커피가 맛있어요,가성비가 좋아요
Saint Nicholas BISTRO,"카페,디저트",서울 강북구 노해로32길 32 1층 Saint Nicholas,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,음료가 맛있어요
스타벅스 수유역점,카페,서울 강북구 도봉로 342 (번동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
투썸플레이스 수유사거리점,카페,서울 강북구 도봉로 295,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요
티틸 CAFE+BAR,"카페,디저트",서울 강북구 노해로 42 2F,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,친절해요,집중하기 좋아요
언유주얼.,"카페,디저트","서울 강북구 한천로132길 66 1층 101,102호",커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
하늘아래작은마을,라이브카페,서울 강북구 삼양로181길 253 우이동미림산장,음식이 맛있어요,친절해요,오래 머무르기 좋아요,대화하기 좋아요,단체모임 하기 좋아요
CBC,"카페,디저트",서울 강북구 삼각산로28길 84 1층,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,디저트가 맛있어요
카페문나잇,케이크전문,서울 강북구 솔매로50길 7,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,매장이 청결해요
-,-,-,-,-,-,-,-
까미노빵집,베이커리,서울 강북구 4.19로 61,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
투썸플레이스 강북구청점,카페,서울 강북구 한천로 1035 우성빌딩 1층,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,매장이 청결해요,친절해요
당가라과자점,"카페,디저트",서울 강북구 오현로6길 34 1층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요
오늘베이크샵,"카페,디저트",서울 강북구 삼각산로34길 57 1층,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요
투썸플레이스 북한산우이역점,카페,서울 강북구 삼양로 685 투썸플레이스 북한산우이역점,커피가 맛있어요,뷰가 좋아요,디저트가 맛있어요,매장이 청결해요,인테리어가 멋져요
