레애케이크,케이크전문,서울 금천구 시흥대로73길 11 무지개상가 2층 205호,미니돔,1호기준,선물하기 좋아요,친절해요,특별한 메뉴가 있어요,디저트가 맛있어요,사진이 잘 나와요
춘천옥,한식,"서울 금천구 디지털로12길 19 춘천옥빌딩 1, 2층",점심특선,정성가득 담아낸 직장인들 위해 1인 보쌈입니다.,음식이 맛있어요,재료가 신선해요,친절해요,매장이 넓어요,특별한 메뉴가 있어요
순남시래기 가산역점,"백반,가정식",서울 금천구 가산디지털1로 186 제이플라츠 A동 지하1층,3대 시래기국,,음식이 맛있어요,반찬이 잘 나와요,가성비가 좋아요,매장이 넓어요,양이 많아요
돼지짚단삼겹살 금천구본점,"육류,고기요리",서울 금천구 시흥대로52길 52 102호,짚단생구이한판 (500g),제주삼겹살 제주 항정살 제주 가브리살 꼬들살 (500g),음식이 맛있어요,친절해요,재료가 신선해요,고기 질이 좋아요,매장이 청결해요
이화룡 불짬뽕,중식당,서울 금천구 시흥대로122길 15,돼지짬뽕,,음식이 맛있어요,재료가 신선해요,양이 많아요,혼밥하기 좋아요,친절해요
야키토리쿠모,이자카야,서울 금천구 벚꽃로38길 32-63 1층,추천꼬치 8개,,음식이 맛있어요,친절해요,가성비가 좋아요,기본 안주가 좋아요,대화하기 좋아요
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
세븐패티버거 가산점,햄버거,서울 금천구 가산디지털1로 142 더스카이밸리1차 201호,세븐 패티 버거 (패티 7장),"참, 극악무도한 최상급 버거는 패티는 7배, 하지만 가격은 단돈 3.3배입니다.",음식이 맛있어요,재료가 신선해요,친절해요,양이 많아요,특별한 메뉴가 있어요
궁전산들애,한식,서울 금천구 독산로 178-1,명인 간장게장 정식(2인이상주문가능),"간장게장, 소불고기, 표고버섯탕수육, 궁중잡채, 그린샐러드, 삼색나물 포함 5찬, 가마솥밥",음식이 맛있어요,재료가 신선해요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요
종로계림닭도리탕원조 가산디지털단지점,닭볶음탕,"서울 금천구 가산디지털1로 142 가산더스카이밸리1차 2층 228,229호",계림닭도리탕 (소) 한마리,"마늘이 듬뿍 들어간 얼큰한 국물 닭도리탕~^^ 기본사리로 떡,감자가 들어있습니다.",음식이 맛있어요,친절해요,양이 많아요,재료가 신선해요,가성비가 좋아요
은행골 가산점,"초밥,롤",서울 금천구 가산디지털1로 171 201호,특진초밥,오도로3/연어3/엔가와2/장새우2/장어2,음식이 맛있어요,매장이 넓어요,재료가 신선해요,친절해요,혼밥하기 좋아요
도을 생고기집,돼지고기구이,서울 금천구 가산로9길 12-8 1층 114호 도을생고기집,생삼겹살(200g),생고기는 국내산을 사용하며 위생관리를 철저히 하고있습니다,음식이 맛있어요,고기 질이 좋아요,친절해요,매장이 넓어요,가성비가 좋아요
데미안,베이커리,서울 금천구 시흥대로 291 310동 142호,아메리카노,아메리카노 (전국에서 가장 맛있는 원두만 찾아서 여러분들께 추천해드립니다.),빵이 맛있어요,커피가 맛있어요,음료가 맛있어요,대화하기 좋아요,친절해요
소곰집 가산디지털단지역점,돼지고기구이,"서울 금천구 벚꽃로36길 30 KS타워 114호, 115호 소곰집",한우모듬 500g,안심/업진살/앞치마살/부챗살/제비추리,음식이 맛있어요,고기 질이 좋아요,양이 많아요,매장이 넓어요,특별한 메뉴가 있어요
상신상회,이자카야,서울 금천구 시흥대로56길 22 102호,숙성간장 삼겹보쌈 (부타노 가쿠니),숙성시킨 간장과 여러 채소를 함께 오랜시간 삶아낸 부드럽고 감칠맛나는 삼겹보쌈(with무),음식이 맛있어요,인테리어가 멋져요,친절해요,술이 다양해요,기본 안주가 좋아요
총각네부추곱창 독산점,"곱창,막창,양",서울 금천구 독산로75길 40 1층 101호,묵사발,,음식이 맛있어요,친절해요,양이 많아요,매장이 넓어요,가성비가 좋아요
가츠나베1.186,돈가스,서울 금천구 가산디지털1로 186 제이플라츠 지하1층 가츠나베 1.186,김치가츠나베 (제주산고기),대표메뉴인 돈까스 김치찌개,음식이 맛있어요,양이 많아요,친절해요,혼밥하기 좋아요,재료가 신선해요
카페 호암,"카페,디저트",서울 금천구 금하로14길 6 1층,레몬생강차,,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
동남집,갈비탕,서울 금천구 가산디지털1로 149 신한이노플렉스 1층 102호,얼큰막창국밥,"갈비추가 32,000원, 튀김만두추가2,000원",음식이 맛있어요,양이 많아요,재료가 신선해요,친절해요,가성비가 좋아요
으뜸명가 가산본점,닭갈비,서울 금천구 가산디지털2로 140 1층 으뜸명가,숯불더덕닭갈비2인세트(시그니쳐메뉴),양념닭갈비+간장닭갈비+횡성더덕구이+치즈쏘세지+모듬아채+치즈그라탕+계란찜이 제공됩니다,음식이 맛있어요,고기 질이 좋아요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요
대호정,"육류,고기요리",서울 금천구 시흥대로52길 51,돼지갈비(300g),국내산 생돼지갈비를 사용한 진짜 돼지갈비 입니다.,음식이 맛있어요,친절해요,매장이 넓어요,고기 질이 좋아요,가성비가 좋아요
스시히또,"초밥,롤",서울 금천구 벚꽃로 286 리더스타워 지하1층 114호,오마카세 C,3-4인이 즐길 수 있는 숙성회,음식이 맛있어요,재료가 신선해요,친절해요,매장이 청결해요,특별한 날 가기 좋아요
냅다청양집 가산디지털단지직영점,돼지고기구이,서울 금천구 가산디지털1로 168 A동 205호,청양큰세트,청양집 시그니처 메뉴 모음 <고기모둠(650g)+불안주(택1)+오봉쫄면>,음식이 맛있어요,고기 질이 좋아요,가성비가 좋아요,양이 많아요,친절해요
은행골 금천구 시흥점,"초밥,롤",서울 금천구 시흥대로 198,도로초밥,,음식이 맛있어요,재료가 신선해요,친절해요,매장이 넓어요,매장이 청결해요
카페온실,카페,서울 금천구 가산디지털1로 100 에이스골드타워 1층 117호,생크림딸기라떼,일본 우지지역 말차가루를 사용하여 부드럽고 말차의 풍미가 느껴집니다 :),커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
스시초이,"초밥,롤",서울 금천구 가산디지털1로 171,모듬초밥,,음식이 맛있어요,재료가 신선해요,가성비가 좋아요,친절해요,매장이 청결해요
포36거리 가산디지털단지역점,베트남음식,서울 금천구 벚꽃로 286 삼성리더스타워 지하1층 112호,소고기 쌀국수,,음식이 맛있어요,양이 많아요,친절해요,재료가 신선해요,혼밥하기 좋아요
북티디저트카페,"카페,디저트",서울 금천구 벚꽃로 298 118호,아메리카노,"88:00시~12:00시 TAKE OUT 할인 2,000",커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요
여신족발,"족발,보쌈",서울 금천구 벚꽃로38길 21,족발(大(앞발 3~4인)),,음식이 맛있어요,양이 많아요,친절해요,가성비가 좋아요,고기 질이 좋아요
편백가원 현대아울렛가산점,샤브샤브,서울 금천구 디지털로10길 9 가산동 6층 612호 현대시티아울렛 가산점,스페셜 디너,소고기편백찜+ 샤브샤브 무한리필 + 전복 1미 + 새우 1미,음식이 맛있어요,가성비가 좋아요,재료가 신선해요,양이 많아요,친절해요
애퍼블,"카페,디저트",서울 금천구 시흥대로123길 30 1층 애퍼블,티라미수,이탈리아 가정집에서 만드는 전통 방식으로 재현한 촉촉하고 풍미 가득한 클래식 티라미수,커피가 맛있어요,디저트가 맛있어요,친절해요,아늑해요,인테리어가 멋져요
고소미부엌 가산점,분식,서울 금천구 가산디지털1로 171 1층 119호,고소미떡볶이,,음식이 맛있어요,재료가 신선해요,양이 많아요,특별한 메뉴가 있어요,혼밥하기 좋아요
분짜하노이 금천롯데캐슬점,베트남음식,서울 금천구 시흥대로 291 상가 2층 217호,[자신있고 확실히 다른 쌀국수 맛집~] 하노이 쌀국수(S),오랜 시간 동안 한우사골과 차돌양지 & 사태를 정성 들여 끓이는 진한 육수의 전통 하노이 쌀국수,음식이 맛있어요,양이 많아요,재료가 신선해요,매장이 넓어요,친절해요
37.5 가산 THE G NATION점,브런치,서울 금천구 범안로 1142 하우스디 더 스카이밸리2차 3층,푸짐한 정통 미국식 브런치,정성스럽게 구운 팬케익과 프렌치 토스트에 각종 사이드 디쉬 그리고 샐러드를 곁들인 브런치,음식이 맛있어요,인테리어가 멋져요,친절해요,매장이 청결해요,재료가 신선해요
매드티파티,"카페,디저트",서울 금천구 범안로12길 44 보세쥬르 지하 109호,에그타르트,포르투칼식 파이지에 속이 꽉찬 에그 필링!,친절해요,인테리어가 멋져요,빵이 맛있어요,커피가 맛있어요,디저트가 맛있어요
김사부 샤브샤브,중식당,서울 금천구 가산로 132,꿔뽀우뤄우 锅包肉,,음식이 맛있어요,양이 많아요,가성비가 좋아요,재료가 신선해요,매장이 넓어요
오키소바 본점,일식당,서울 금천구 가산디지털1로 128 b129호,돈코츠라멘,진한국물과 푸짐한토핑이 돋보이는 돈코츠라멘 입니다,음식이 맛있어요,양이 많아요,친절해요,가성비가 좋아요,혼밥하기 좋아요
엉클스키친,요리주점,서울 금천구 시흥대로 179 103호 104호,동고집,다진새우와 오징어를 채워 튀긴 표고버섯을 해물들과 불 향 나게 볶아낸 엉클스 시그니쳐메뉴,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,술이 다양해요
-,-,-,-,-,-,-,-,-,-
교촌치킨 가산디지털점,"치킨,닭강정",서울 금천구 가산디지털1로 165 가산비지니스센터 2층,교촌옥수수통안심 떡볶이세트,"교촌옥수수통안심+국물맵떡S""교촌옥수수와 찰떡궁합인 국물맵떡S 세트메뉴",음식이 맛있어요,매장이 넓어요,친절해요,단체모임 하기 좋아요,재료가 신선해요
분짜라붐 가산디지털역점,베트남음식,서울 금천구 디지털로9길 47 1층 102호 분짜라붐,하노이 직화 분짜,부드럽고 고소한 生차돌이 들어간 진한 소고기 육수의 하노이 고급 쌀국수,음식이 맛있어요,친절해요,재료가 신선해요,매장이 넓어요,양이 많아요
온센 금천구 가산점,일식당,서울 금천구 가산디지털1로 205-27 1층 온센 금천구점,온센텐동,새우1/온센타마고1/김1/단호박1/느타리버섯1/가지1/꽈리고추1,음식이 맛있어요,재료가 신선해요,매장이 넓어요,매장이 청결해요,인테리어가 멋져요
갓포소,일식당,서울 금천구 가산디지털2로 144 현대테라타워가산DK 1층 106호,런치스페셜스시19,일본식 해산물덮밥,음식이 맛있어요,재료가 신선해요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
플러버 본점,"스파게티,파스타전문",서울 금천구 시흥대로 291 롯데캐슬골드파크3차 WEST동 208호,핑키게살 로제스파게티,,음식이 맛있어요,친절해요,재료가 신선해요,매장이 청결해요,인테리어가 멋져요
황제짬뽕양꼬치전문점,중식당,서울 금천구 디지털로9길 32,탕수육 정식,찹쌀탕수육 대 25000,음식이 맛있어요,양이 많아요,재료가 신선해요,친절해요,가성비가 좋아요
채선당 월남쌈&샤브샤브 금천구청점,샤브샤브,서울 금천구 시흥대로 277,월남쌈 샤브샤브 (평일점심),,음식이 맛있어요,재료가 신선해요,매장이 넓어요,가성비가 좋아요,친절해요
마실마실,와인,서울 금천구 벚꽃로56길 100 1층,라따뚜이,당일 만드는 신선한 채소와 미트 소스 트리플/리코타 치즈에 바게트,인테리어가 멋져요,음식이 맛있어요,친절해요,음악이 좋아요,대화하기 좋아요
통영해물가,"매운탕,해물탕",서울 금천구 벚꽃로46길 1-5 통영해물가,생선회,생선회+회무침+모둠튀김+생선조림+청어구이+반반매운탕(야채+면),음식이 맛있어요,재료가 신선해요,친절해요,가성비가 좋아요,양이 많아요
마라홀릭 마라탕 가산센트럴점,중식당,서울 금천구 디지털로10길 69 1동 G13호 마라홀릭,먹어도 속이 편한 일품 마라탕,최소 주문금액 7000원 부터~,음식이 맛있어요,재료가 신선해요,친절해요,매장이 청결해요,가성비가 좋아요
-,-,-,-,-,-,-,-,-,-
왕돈까스&왕냉면 독산점,돈가스,서울 금천구 독산로 201-1 1층,수제돈까스(생등심)+물냉면,"옛날 수제돈까스(생등심)한 장 ,물냉면1인분",음식이 맛있어요,양이 많아요,가성비가 좋아요,친절해요,혼밥하기 좋아요
스시천,"초밥,롤",서울 금천구 벚꽃로 298,점심특선,,음식이 맛있어요,재료가 신선해요,친절해요,가성비가 좋아요,매장이 청결해요
이화순대국,"순대,순댓국",서울 금천구 시흥대로 237-12 1층,순대국,2인분,음식이 맛있어요,양이 많아요,가성비가 좋아요,혼밥하기 좋아요,친절해요
