"케르반 카페, 디저트&브런치",베이커리,서울 용산구 우사단로10길 17 1층,카이막2인세트,느끼함 없는 부드러운 카이막과 입안가득달콤한 꿀과 함께 라마단 피데와 함께 즐기는세트입니다,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
마제스키야키,샤브샤브,서울 용산구 한강대로40길 9-5 1층,관동식 스키야키,"다양한 채소와 버섯, 소고기를 전골냄비에 끓여 드시는 일본식 스키야키 입니다.",음식이 맛있어요,재료가 신선해요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
토터스,"카페,디저트",서울 용산구 신흥로 81 1층,딸기모찌 수플레 팬케이크,매일 직접 만드는 찹쌀떡을 올린 딸기모찌 팬케이크,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요
야상해,"딤섬,중식만두",서울 용산구 이태원로23길 6,소룡보,,음식이 맛있어요,특별한 메뉴가 있어요,가성비가 좋아요,친절해요,재료가 신선해요
목계화원 신용산점,한식,서울 용산구 한강대로42길 6,시그니처 정찬(1인),목계화원의 다양한 퓨전 닭요리를 맛볼 수 있는 시그니처 메뉴,음식이 맛있어요,인테리어가 멋져요,재료가 신선해요,친절해요,특별한 메뉴가 있어요
능동미나리,한식,"서울 용산구 한강대로40길 28 1, 2층",미나리곱창전골,,음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,친절해요,매장이 청결해요
몽탄,"육류,고기요리",서울 용산구 백범로99길 50,우대갈비,소갈빗살 중 가장 맛있는 진갈비를 활용한 양념육,음식이 맛있어요,특별한 메뉴가 있어요,친절해요,고기 질이 좋아요,특별한 날 가기 좋아요
도야집,돼지고기구이,서울 용산구 한강대로52길 27,도야집 시그니처 세트 (3~4인),목살 2인 + 뼈오겹살 2인 + 청어알호두쌈장이 함께 제공되는 시그니처 세트,음식이 맛있어요,친절해요,고기 질이 좋아요,특별한 메뉴가 있어요,재료가 신선해요
포카치아델라스트라다,양식,서울 용산구 한강대로46길 11,감자와 살시챠인기N,,음식이 맛있어요,특별한 메뉴가 있어요,재료가 신선해요,친절해요,인테리어가 멋져요
더테이블키친,양식,서울 용산구 이태원로 208 4층 (더구룸) 더테이블키친,signature steak,제철과일과 와사비를 곁들어 먹는 더테이블키친의 시크니쳐 살치살 스테이크,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,대화하기 좋아요
초원,"육류,고기요리",서울 용산구 한강대로80길 7,한우등심주물럭1++ (150g),"소고기 최고등급 1++고기를 선별, 숙성 후 얇게 슬라이스한 등심주물럭입니다.",음식이 맛있어요,특별한 메뉴가 있어요,친절해요,재료가 신선해요,고기 질이 좋아요
르솔레이,"카페,디저트",서울 용산구 이태원로54길 28 2층 LE SOLEIL,마들렌,,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요
판코네,양식,서울 용산구 한강대로40가길 7 풍양빌딩 1층 판코네,크림 라자냐 (런치),"라구, 베샤멜, 에멘탈치즈, 그뤼에르치즈",음식이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,재료가 신선해요
적토 발효구이,"육류,고기요리",서울 용산구 한강대로14길 12 1층 적토,젓삼겹 (260g),옹기에 젓과 특제소스를 절여 발효시킨 삼겹살. 새콤한 맛과 콤콤한 향이 일품이다.,음식이 맛있어요,고기 질이 좋아요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요
Summer Lane,브런치,서울 용산구 이태원로55가길 49 1층 summerlane,크로아상프렌치토스트,,음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요
미미옥 신용산점,한식,서울 용산구 한강대로15길 27,방아 샤브샤브,,음식이 맛있어요,친절해요,재료가 신선해요,인테리어가 멋져요,특별한 메뉴가 있어요
부자피자 1호점,피자,서울 용산구 이태원로55가길 28,부자 클라시카 피자,,음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,친절해요,특별한 날 가기 좋아요
테디뵈르하우스 용산점,"카페,디저트",서울 용산구 한강대로40가길 42 1층,Beurre croissant,겉은 바삭하고 속은 촉촉한 부드럽고 고소한 맛의 크로아상,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,사진이 잘 나와요,커피가 맛있어요
8PIECE PIZZA,피자,서울 용산구 신흥로 42 1층 8PIECE PIZZA,8 PIECE 화덕피자,8PIECE PIZZA만의 특별한 화덕 피자를 만나보세요.,음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요
치히로 서울용산점,일식당,서울 용산구 한강대로62길 42-1 1층,텐동,,음식이 맛있어요,인테리어가 멋져요,친절해요,재료가 신선해요,매장이 청결해요
바토스 이태원점,"멕시코,남미음식",서울 용산구 이태원로15길 1 2층,김치 까르니따스 프라이즈,"까르니따스(돼지고기), 볶은 김치, 양념한 감자튀김, 치즈, 양파, 고수, 사워크림, 바토스 핫소스, 할라피뇨",음식이 맛있어요,매장이 넓어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요
콘하스 한남점,"카페,디저트",서울 용산구 이태원로55나길 22 콘하스 한남점,카페라떼,,인테리어가 멋져요,커피가 맛있어요,뷰가 좋아요,디저트가 맛있어요,사진이 잘 나와요
한남동한방통닭,"치킨,닭강정",서울 용산구 대사관로34길 38,한방통닭,,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,재료가 신선해요,가성비가 좋아요
쏭타이치앙마이 신용산본점,태국음식,서울 용산구 한강대로40길 39-5 1층 쏭타이치앙마이,왕갈비 쌀국수,사골과 20여가지 천연재료로 우려낸 육수에 왕갈비를 넣어 만든 진한 국물의 태국식 수제 쌀국수,음식이 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,재료가 신선해요
우우,"육류,고기요리","서울 용산구 한강대로 175 1, 2층",1++ 오늘의 한우(100g),날마다 새로운 한우,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,고기 질이 좋아요,재료가 신선해요
샤브인서울 신용산본점,샤브샤브,서울 용산구 한강대로62길 61 1층,1등급 흑돼지 목살 샤브정식,식사 후 후식차가 제공됩니다.,음식이 맛있어요,재료가 신선해요,인테리어가 멋져요,친절해요,매장이 청결해요
고청담 용산점,소고기구이,서울 용산구 한강대로 100 아모레퍼시픽 본사 B1F,[런치/디너] 한우 구이 코스(1인),"180g / 230g 158,000원 *2인 이상 주문 가능",음식이 맛있어요,고기 질이 좋아요,친절해요,인테리어가 멋져요,직접 잘 구워줘요
태향,중식당,서울 용산구 후암로57길 3-10,태향특면,,음식이 맛있어요,양이 많아요,가성비가 좋아요,혼밥하기 좋아요,친절해요
