원더케이크,케이크전문,서울 서초구 효령로53길 18 석탑 오피스텔 103호,버터플라워케이크미니,높이14cm이상,주문제작을 잘해줘요,디저트가 맛있어요,선물하기 좋아요,친절해요,가성비가 좋아요
동명양과자점 신세계강남점,베이커리,서울 서초구 신반포로 176,동명 치즈케이크,,빵이 맛있어요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,메뉴 구성이 알차요
메르시뤼탱파티세리,"카페,디저트",서울 서초구 동광로12가길 12 1층,에끌레어 5종 선물세트대표,봄꽃처럼 우아한 에끌레어슈안에 부드럽고 가벼운 텍스처 디플로마트크림의 고급진 크림맛과 미적으로도 아름다운 디저트입니다. 저희 메르시뤼탱은 바삭한 식감과 디자인적인 측면도 시각적으로 반짝이면서 감각적인 글레이즈 데코레이션 프랑스 명품 에쉬레 버터로 만든 슈에 바닐라빈 크렘파티시에 베이스로 만든 디플로마트크림 (크렘파티시에+샹티크림) 사용,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,선물하기 좋아요
타짜도르 강남점,"카페,디저트",서울 서초구 서초대로77길 61 S&G타워 1층,에스프레소 도피오,네스프레소 호환,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요,대화하기 좋아요
카페고고스 서초점,"카페,디저트",서울 서초구 효령로 356 1층,눈꽃빙수,서초 카페 고고스 대표메뉴 인절미빙수,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,친절해요,매장이 청결해요
피노키오,아이스크림,서울 서초구 사평대로22길 42 103호,Big cup(2가지 맛)인기대표,피노키오 젤라또 메뉴 2가지를 담아드립니다. 2~3명이 나눠먹기 좋은 크기입니다.,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요
봉쥬르봉봉,요리주점,"서울 서초구 서초중앙로 123 엘렌타워 B1, 1층",브런치,매일 새로운 한상 플레이트 / 주류 2종 무제한 / 이용시간 1시간,빵이 맛있어요,인테리어가 멋져요,친절해요,매장이 청결해요,커피가 맛있어요
밀도 강남역점,베이커리,서울 서초구 강남대로 419 무인양품 1층 내 밀도,담백식빵,저지방 우유와 청정 유기농 밀가루를 블렌딩하여 폭신하고 쫄깃 담백한 밀도 시그니쳐 식빵,빵이 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,친절해요,커피가 맛있어요
복자카페,"카페,디저트",서울 서초구 강남대로89길 19 프로피티 반포빌딩 5층,와인볼,상큼새콤달콤한 복자대표메뉴 토마토떡볶이!,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,디저트가 맛있어요
카페드칸,브런치카페,서울 서초구 방배로18길 9 1층,프렌치 토스트,,커피가 맛있어요,인테리어가 멋져요,가성비가 좋아요,디저트가 맛있어요,친절해요
모멍데모시옹,"카페,디저트",서울 서초구 반포대로3길 31 102호,녹차(유기농),제주 차밭의 어린 찻잎으로 만든 작설차 * 모멍데모시옹에서 선정한 차는 디저트류와 잘 어울립니다.,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,비싼 만큼 가치있어요
파브리끄 양재점,"카페,디저트",서울 서초구 서운로6길 25 1층,[패스오더전용] 100원 아메리카노,"패스오더 앱 설치하면, 최소 주문 금액 없이 100원에 커피 주문+1,500원 쿠폰까지",커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요
