자마버거 이대점,햄버거,서울 서대문구 연세로2마길 17 1층,빅오리지널 버거 180g,"자마 시그니처 버거! 육즙 팡팡 신선한 수제 패티 180g,(로메인, 카라멜라이징 어니언) 두번 구운 카라멜라이징 어니언이 펼쳐내는 진한 풍미!",음식이 맛있어요,재료가 신선해요,양이 많아요,친절해요,인테리어가 멋져요
알트,"카페,디저트","서울 서대문구 연희로 122 경교빌딩 1층 104호, 105호",모카 레밍턴케이크 (Gluten free),"/ 글루텐프리 시트에 직접 만든 초코 스프레드를 바른 뒤 모카 초콜릿으로 코팅하여 수제초코크런치로 마무리한 케이크 입니다. (모카맛에는 소량의 카페인이 들어가 있습니다.) / 국내산쌀, 현미가루, 타피오카 가루, 비정제 설탕을 사용 하였습니다.",디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요
마더린러 베이글,베이글,서울 서대문구 이화여대5길 5 지상 1층,Catering Service,"기업,학교,공공기관 행사 시 식사대용으로 간단하게 한끼를 해결해드립니다.",빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
고르드,"카페,디저트",서울 서대문구 명물길 42 우성빌딩,앙버터,sns에서 핫한 약과쿠키,빵이 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요
매뉴팩트커피 연희 본점,카페,서울 서대문구 연희로11길 29 2층,플랫화이트,"폴 고갱, 카멜리아, 샌 프란시스코",커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요
오트 연희,브런치카페,서울 서대문구 연희로25길 95 오트,포르치니 버섯 크림 파스타,보통의 버섯파스타와는 다른 진한 버섯 특제소스의 파스타!,음식이 맛있어요,인테리어가 멋져요,뷰가 좋아요,친절해요,재료가 신선해요
프에프에케이크,케이크전문,서울 서대문구 증가로10길 6 1층,"(상시구매,예약가능)생망고듬뿍홀케이크","동물성 생크림, 마스카포네 크림치즈, 생망고가 듬뿍 들어간 프에프에 하절기 시그니처 케이크",디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,주문제작을 잘해줘요
비전스트롤 연희점,"카페,디저트",서울 서대문구 연희로11길 57 1층 2호,에스프레소,카페 라떼,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,사진이 잘 나와요,특별한 메뉴가 있어요
독수리다방,카페,서울 서대문구 연세로 36 독수리빌딩 8층,블랙커피,,커피가 맛있어요,뷰가 좋아요,인테리어가 멋져요,음료가 맛있어요,집중하기 좋아요
카페 문베어,카페,서울 서대문구 명물길 66 1층 cafe moonbear,생과일 에이드_4종류(레드패션푸르츠(570ml)),주문과 동시에 생과일을 착즙하여 더욱 신선하고 깔끔한 맛(570ml),커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,집중하기 좋아요
미네르바,카페,서울 서대문구 명물길 18 2층,사이폰커피(2잔),사이폰방식으로 추출해드립니다.(원두 종류에 따라 가격이 달라질 수 있습니다),커피가 맛있어요,인테리어가 멋져요,친절해요,대화하기 좋아요,음료가 맛있어요
알트,"카페,디저트","서울 서대문구 연희로 122 경교빌딩 1층 104호, 105호",모카 레밍턴케이크 (Gluten free),"/ 글루텐프리 시트에 직접 만든 초코 스프레드를 바른 뒤 모카 초콜릿으로 코팅하여 수제초코크런치로 마무리한 케이크 입니다. (모카맛에는 소량의 카페인이 들어가 있습니다.) / 국내산쌀, 현미가루, 타피오카 가루, 비정제 설탕을 사용 하였습니다.",디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요
달인꽈배기,베이커리,서울 서대문구 통일로 205-3,꽈배기3개,,빵이 맛있어요,가성비가 좋아요,친절해요,커피가 맛있어요,인테리어가 멋져요
