-,-,-,-,-,-,-,-
스타벅스 장한평역점,카페,서울 동대문구 장한로 10 (장안동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
유유에스프레소,"카페,디저트",서울 동대문구 회기로19길 9 2층,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
연우연,"카페,디저트",서울 동대문구 전농로 235 1층,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,커피가 맛있어요
스타벅스 경희대삼거리점,카페,서울 동대문구 회기로 141 (회기동),커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요
오르앤지드,"카페,디저트",서울 동대문구 답십리로30길 49 1층 카페 오르앤지드,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요
카페양귀비,"카페,디저트",서울 동대문구 이문로9길 8 1층,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,친절해요
투썸플레이스 경희대점,카페,서울 동대문구 경희대로 7-1,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요,집중하기 좋아요
달콤제빵소,베이커리,서울 동대문구 홍릉로 19,빵이 맛있어요,커피가 맛있어요,친절해요,매장이 청결해요,대화하기 좋아요
고소운,"카페,디저트",서울 동대문구 휘경로2길 4 지하 1층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,사진이 잘 나와요
러프,"카페,디저트",서울 동대문구 약령시로 6 1층 101호,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요
시에로시네마,"카페,디저트",서울 동대문구 서울시립대로 80-1 2호,친절해요,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요
커피빈 경희대점,카페,서울 동대문구 경희대로 10,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요
아워오후,케이크전문,서울 동대문구 고산자로36길 3 경동시장 신관 3층 청년몰(서울훼미리),친절해요,특별한 메뉴가 있어요,디저트가 맛있어요,주문제작을 잘해줘요,매장이 청결해요
투썸플레이스 휘경점,카페,서울 동대문구 망우로 86 1~2층 투썸플레이스,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요
